,Car,Company,fuel,seller_type,transmission,owner,year,km_driven,mileage,engine_cc,max_power_bhp,seats
215,Hyundai Verna SX,Hyundai,Petrol,Dealer,Manual,First Owner,2012.5,70000.0,18.39,1497.0,113.42,5.0
216,Hyundai Verna Transform,Hyundai,Diesel,Individual,Manual,Second Owner,2010.0,90000.0,16.2,1493.0,110.0,5.0
217,Hyundai Verna VTVT,Hyundai,Petrol,Individual,Manual,First Owner,2018.0,17500.0,17.0,1591.0,121.3,5.0
218,Hyundai Verna XXi,Hyundai,Petrol,Individual,Manual,Second Owner,2009.0,214000.0,13.9,1599.0,103.2,5.0
219,Hyundai Verna Xi,Hyundai,Petrol,Individual,Manual,Fourth & Above Owner,2008.0,108000.0,13.9,1599.0,103.2,5.0
220,Hyundai Xcent 1.1,Hyundai,Diesel,Individual,Manual,First Owner,2015.0,72000.0,24.4,1120.0,71.0,5.0
221,Hyundai Xcent 1.2,Hyundai,Petrol,Individual,Manual,First Owner,2017.0,40000.0,20.14,1197.0,81.86,5.0
222,Hyundai i10 Asta,Hyundai,Petrol,Individual,Manual,Second Owner,2008.0,70000.0,20.36,1197.0,78.9,5.0
223,Hyundai i10 Era,Hyundai,Petrol,Individual,Manual,Second Owner,2010.0,70000.0,19.81,1086.0,68.05,5.0
224,Hyundai i10 LPG,Hyundai,LPG,Individual,Manual,Third Owner,2012.0,97000.0,19.0,1086.0,68.1,5.0
225,Hyundai i10 Magna,Hyundai,Petrol,Individual,Manual,First Owner,2011.0,67000.0,20.36,1197.0,78.9,5.0
226,Hyundai i10 Sportz,Hyundai,Petrol,Individual,Manual,First Owner,2011.0,60000.0,20.36,1197.0,78.9,5.0
227,Hyundai i20 1.2,Hyundai,Petrol,Individual,Manual,First Owner,2017.0,30000.0,18.6,1197.0,81.83,5.0
228,Hyundai i20 1.4,Hyundai,Diesel,Individual,Manual,First Owner,2012.0,80000.0,22.54,1396.0,90.0,5.0
229,Hyundai i20 2015-2017,Hyundai,Diesel,Individual,Manual,First Owner,2017.0,40000.0,22.54,1396.0,88.73,5.0
230,Hyundai i20 Active,Hyundai,Diesel,Individual,Manual,First Owner,2016.0,50000.0,21.19,1396.0,88.73,5.0
231,Hyundai i20 Asta,Hyundai,Diesel,Individual,Manual,First Owner,2015.0,70000.0,21.27,1396.0,88.73,5.0
232,Hyundai i20 Diesel,Hyundai,Diesel,Dealer,Manual,First Owner,2014.0,76000.0,22.54,1396.0,88.73,5.0
233,Hyundai i20 Era,Hyundai,Diesel,Individual,Manual,First Owner,2015.0,45900.0,22.54,1396.0,88.73,5.0
234,Hyundai i20 Magna,Hyundai,Petrol,Individual,Manual,First Owner,2013.0,50000.0,18.6,1197.0,82.85,5.0
235,Hyundai i20 Petrol,Hyundai,Petrol,Individual,Automatic,First Owner,2018.0,20000.0,17.4,1197.0,81.86,5.0
236,Hyundai i20 Sportz,Hyundai,Diesel,Individual,Manual,First Owner,2014.0,70000.0,21.9,1396.0,88.73,5.0
237,Isuzu D-Max V-Cross,Isuzu,Diesel,Individual,Automatic,First Owner,2018.0,43400.0,12.4,2249.0,140.95,5.0
238,Isuzu MU 7,Isuzu,Diesel,Dealer,Automatic,First Owner,2016.0,121000.0,12.08,2999.0,161.0,7.0
239,Isuzu MUX 2WD,Isuzu,Diesel,Individual,Automatic,First Owner,2019.0,10000.0,13.8,2999.0,174.57,7.0
240,Jaguar XE 2016-2019,Jaguar,Diesel,Dealer,Automatic,First Owner,2017.0,9000.0,13.6,1999.0,177.0,5.0
241,Jaguar XF 2,Jaguar,Diesel,Dealer,Automatic,First Owner,2017.0,45000.0,19.33,1999.0,177.0,5.0
242,Jaguar XF 2.2,Jaguar,Diesel,Individual,Automatic,First Owner,2013.0,60000.0,16.36,2179.0,187.7,5.0
243,Jaguar XF 3,Jaguar,Diesel,Individual,Automatic,First Owner,2014.0,51000.0,14.74,2993.0,270.9,5.0
244,Jaguar XF Diesel,Jaguar,Diesel,Dealer,Automatic,First Owner,2015.0,13500.0,14.74,2993.0,270.9,5.0
245,Jeep Compass 1.4,Jeep,Petrol,Individual,Automatic,First Owner,2019.0,10000.0,16.0,1368.0,160.0,5.0
246,Jeep Compass 2,Jeep,Diesel,Individual,Manual,First Owner,2017.0,47500.0,17.1,1956.0,170.0,5.0
247,Jeep Wrangler 2016-2019,Jeep,Petrol,Individual,Automatic,First Owner,2017.0,17000.0,9.5,3604.0,280.0,5.0
248,Kia Seltos HTE,Kia,Diesel,Individual,Manual,First Owner,2019.0,10000.0,20.8,1493.0,113.4,5.0
249,Kia Seltos HTX,Kia,Diesel,Dealer,Automatic,First Owner,2020.0,5000.0,17.8,1493.0,113.4,5.0
250,Land Rover Discovery,Land,Diesel,Dealer,Automatic,First Owner,2019.0,21000.0,12.83,1999.0,148.31,7.0
251,Land Rover Range,Land,Diesel,Individual,Automatic,Third Owner,2013.0,77500.0,12.7,2179.0,187.7,5.0
252,Lexus ES 300h,Lexus,Petrol,Dealer,Automatic,First Owner,2019.0,20000.0,22.37,2487.0,214.56,5.0
253,MG Hector Sharp,MG,Petrol,Dealer,Automatic,First Owner,2019.5,10300.0,13.96,1451.0,141.0,5.0
254,MG Hector Smart,MG,Petrol,Dealer,Automatic,First Owner,2019.0,16500.0,13.96,1451.0,141.0,5.0
255,Mahindra Bolero 2011-2019,Mahindra,Diesel,Individual,Manual,First Owner,2014.0,80000.0,15.96,2523.0,62.1,7.0
256,Mahindra Bolero B2,Mahindra,Diesel,Dealer,Manual,First Owner,2018.0,74250.0,21.0,1498.0,74.96,7.0
257,Mahindra Bolero B4,Mahindra,Diesel,Dealer,Manual,First Owner,2015.0,40200.0,21.0,1498.0,74.96,7.0
258,Mahindra Bolero DI,Mahindra,Diesel,Individual,Manual,Second Owner,2008.0,120000.0,13.6,2523.0,63.0,7.0
259,Mahindra Bolero LX,Mahindra,Diesel,Individual,Manual,First Owner,2010.0,78000.0,13.6,2523.0,63.0,7.0
260,Mahindra Bolero PLUS,Mahindra,Diesel,Individual,Manual,Third Owner,2009.5,132500.0,13.6,2523.0,63.0,7.0
261,Mahindra Bolero Power,Mahindra,Diesel,Individual,Manual,First Owner,2017.0,80000.0,16.5,1493.0,70.0,7.0
262,Mahindra Bolero SLE,Mahindra,Diesel,Individual,Manual,Second Owner,2010.0,120000.0,13.6,2523.0,63.0,7.0
263,Mahindra Bolero SLX,Mahindra,Diesel,Individual,Manual,Second Owner,2010.0,110000.0,13.6,2523.0,63.0,7.0
264,Mahindra Bolero VLX,Mahindra,Diesel,Individual,Manual,Second Owner,2011.0,100000.0,13.6,2523.0,63.0,7.0
265,Mahindra Bolero XL,Mahindra,Diesel,Individual,Manual,Third Owner,2007.0,120000.0,13.6,2523.0,63.0,7.0
266,Mahindra Bolero ZLX,Mahindra,Diesel,Individual,Manual,Second Owner,2003.0,132478.0,13.6,2523.0,63.0,7.0
267,Mahindra KUV 100,Mahindra,Petrol,Individual,Manual,First Owner,2017.0,40000.0,18.15,1198.0,82.0,6.0
268,Mahindra Logan Diesel,Mahindra,Diesel,Individual,Manual,Third Owner,2011.0,147500.0,19.2,1461.0,65.0,5.0
269,Mahindra Logan Petrol,Mahindra,Petrol,Individual,Manual,First Owner,2010.0,120000.0,15.7,1390.0,75.0,5.0
270,Mahindra Marazzo M2,Mahindra,Diesel,Dealer,Manual,First Owner,2019.0,23000.0,17.3,1497.0,121.0,7.0
271,Mahindra Marazzo M6,Mahindra,Diesel,Individual,Manual,First Owner,2018.0,40000.0,17.3,1497.0,121.0,8.0
272,Mahindra Marazzo M8,Mahindra,Diesel,Individual,Manual,First Owner,2019.0,5000.0,17.3,1497.0,121.0,7.0
273,Mahindra NuvoSport N8,Mahindra,Diesel,Individual,Automatic,First Owner,2016.0,80000.0,17.45,1493.0,100.0,7.0
274,Mahindra Quanto C2,Mahindra,Diesel,Individual,Manual,First Owner,2013.0,52000.0,17.21,1493.0,100.0,7.0
275,Mahindra Quanto C4,Mahindra,Diesel,Individual,Manual,Second Owner,2014.5,70000.0,17.21,1493.0,100.0,7.0
276,Mahindra Quanto C6,Mahindra,Diesel,Individual,Manual,First Owner,2013.0,70000.0,17.21,1493.0,100.0,7.0
277,Mahindra Quanto C8,Mahindra,Diesel,Individual,Manual,Second Owner,2012.5,165000.0,17.21,1493.0,100.0,7.0
278,Mahindra Renault Logan,Mahindra,Diesel,Individual,Manual,Second Owner,2008.0,120000.0,19.2,1461.0,65.0,5.0
279,Mahindra Scorpio 1.99,Mahindra,Diesel,Individual,Manual,First Owner,2015.0,70000.0,15.4,1997.0,120.0,7.0
280,Mahindra Scorpio 2.6,Mahindra,Diesel,Individual,Manual,Second Owner,2006.0,110000.0,10.5,2179.0,120.0,8.0
281,Mahindra Scorpio 2006-2009,Mahindra,Diesel,Individual,Manual,First Owner,2008.0,120000.0,10.5,2609.0,120.0,9.0
282,Mahindra Scorpio 2009-2014,Mahindra,Diesel,Individual,Manual,First Owner,2014.0,126000.0,12.05,2179.0,120.0,7.0
283,Mahindra Scorpio EX,Mahindra,Diesel,Individual,Manual,First Owner,2013.0,100000.0,14.0,2523.0,75.0,8.0
284,Mahindra Scorpio Gateway,Mahindra,Diesel,Individual,Manual,Second Owner,2013.0,120000.0,13.5,2609.0,115.0,5.0
285,Mahindra Scorpio Getaway,Mahindra,Diesel,Individual,Manual,First Owner,2016.0,120000.0,11.0,2179.0,120.0,5.0
286,Mahindra Scorpio Intelli,Mahindra,Diesel,Individual,Manual,First Owner,2017.0,46000.0,15.4,2179.0,120.0,7.0
287,Mahindra Scorpio LX,Mahindra,Diesel,Individual,Manual,First Owner,2012.0,120000.0,12.05,2179.0,120.0,9.0
288,Mahindra Scorpio M2DI,Mahindra,Diesel,Individual,Manual,Second Owner,2011.0,120000.0,13.5,2179.0,115.0,5.0
289,Mahindra Scorpio S10,Mahindra,Diesel,Individual,Manual,First Owner,2015.0,75262.0,15.4,2179.0,120.0,7.0
290,Mahindra Scorpio S11,Mahindra,Diesel,Individual,Manual,First Owner,2018.0,50000.0,16.36,2179.0,140.0,7.0
291,Mahindra Scorpio S2,Mahindra,Diesel,Individual,Manual,First Owner,2015.0,100000.0,15.4,2523.0,75.0,7.0
292,Mahindra Scorpio S3,Mahindra,Diesel,Individual,Manual,First Owner,2018.0,47500.0,15.4,2523.0,75.0,7.0
293,Mahindra Scorpio S4,Mahindra,Diesel,Individual,Manual,First Owner,2015.5,57924.5,15.4,2179.0,120.0,7.0
294,Mahindra Scorpio S5,Mahindra,Diesel,Individual,Manual,First Owner,2019.0,60000.0,16.36,2179.0,120.0,7.0
295,Mahindra Scorpio S7,Mahindra,Diesel,Individual,Manual,First Owner,2018.5,21026.5,16.36,2179.0,120.0,7.0
296,Mahindra Scorpio SLE,Mahindra,Diesel,Individual,Manual,Second Owner,2012.5,100000.0,12.05,2179.0,120.0,8.0
297,Mahindra Scorpio SLX,Mahindra,Diesel,Individual,Manual,Fourth & Above Owner,2007.5,115000.0,11.6,2394.0,120.0,7.5
298,Mahindra Scorpio VLS,Mahindra,Diesel,Individual,Automatic,Third Owner,2009.0,110000.0,11.79,2179.0,120.0,8.0
299,Mahindra Scorpio VLX,Mahindra,Diesel,Individual,Manual,First Owner,2012.0,101903.0,12.05,2179.0,120.0,8.0
300,Mahindra Ssangyong Rexton,Mahindra,Diesel,Individual,Automatic,First Owner,2013.0,117000.0,11.18,2696.0,184.0,7.0
301,Mahindra Supro LX,Mahindra,Diesel,Individual,Manual,First Owner,2018.0,50000.0,23.5,909.0,45.0,8.0
302,Mahindra TUV 300,Mahindra,Diesel,Individual,Manual,First Owner,2016.0,60000.0,18.49,1493.0,100.0,7.0
303,Mahindra Thar 4X4,Mahindra,Diesel,Individual,Manual,First Owner,2014.0,67500.0,16.55,2498.0,105.0,7.0
304,Mahindra Thar CRDe,Mahindra,Diesel,Individual,Manual,First Owner,2018.0,26235.0,16.55,2498.0,105.0,6.0
305,Mahindra Thar DI,Mahindra,Diesel,Individual,Manual,First Owner,2015.5,38000.0,18.06,2523.0,63.0,7.0
306,Mahindra Verito 1.4,Mahindra,Petrol,Individual,Manual,Second Owner,2012.0,110000.0,13.87,1390.0,75.0,5.0
307,Mahindra Verito 1.5,Mahindra,Diesel,Individual,Manual,Second Owner,2012.0,110000.0,21.0,1461.0,65.0,5.0
308,Mahindra Verito 1.6,Mahindra,Petrol,Individual,Manual,First Owner,2013.0,70000.0,13.87,1598.0,86.0,5.0
309,Mahindra Verito Vibe,Mahindra,Diesel,Individual,Manual,First Owner,2014.0,110000.0,20.8,1461.0,64.1,5.0
310,Mahindra XUV300 W6,Mahindra,Diesel,Individual,Manual,First Owner,2019.0,17000.0,20.0,1497.0,115.0,5.0
311,Mahindra XUV300 W8,Mahindra,Petrol,Individual,Manual,First Owner,2019.0,16500.0,17.0,1197.0,110.0,5.0
312,Mahindra XUV500 AT,Mahindra,Diesel,Individual,Automatic,First Owner,2016.0,70000.0,16.0,2179.0,140.0,7.0
313,Mahindra XUV500 W10,Mahindra,Diesel,Individual,Manual,First Owner,2016.0,54000.0,16.0,2179.0,140.0,7.0
314,Mahindra XUV500 W11,Mahindra,Diesel,Individual,Manual,First Owner,2018.5,30000.0,15.1,2179.0,152.87,7.0
315,Mahindra XUV500 W4,Mahindra,Diesel,Individual,Manual,First Owner,2014.0,75000.0,15.1,2179.0,140.0,7.0
316,Mahindra XUV500 W5,Mahindra,Diesel,Individual,Manual,First Owner,2018.0,42432.5,15.1,2179.0,152.87,7.0
317,Mahindra XUV500 W6,Mahindra,Diesel,Individual,Manual,First Owner,2014.0,90500.0,15.1,2179.0,140.0,7.0
318,Mahindra XUV500 W7,Mahindra,Diesel,Individual,Manual,First Owner,2018.0,50000.0,15.1,2179.0,152.87,7.0
319,Mahindra XUV500 W8,Mahindra,Diesel,Individual,Manual,First Owner,2013.0,90000.0,15.1,2179.0,140.0,7.0
320,Mahindra XUV500 W9,Mahindra,Diesel,Individual,Manual,First Owner,2018.0,40000.0,15.55,2179.0,145.435,7.0
321,Mahindra Xylo D2,Mahindra,Diesel,Individual,Manual,First Owner,2011.0,120000.0,13.0,2489.0,95.0,8.0
322,Mahindra Xylo D4,Mahindra,Diesel,Individual,Manual,First Owner,2013.0,118500.0,14.0,2498.0,112.0,8.0
323,Mahindra Xylo E4,Mahindra,Diesel,Individual,Manual,First Owner,2010.0,125000.0,14.0,2498.0,112.0,7.0
324,Mahindra Xylo E6,Mahindra,Diesel,Individual,Manual,Second Owner,2011.0,70000.0,14.0,2498.0,112.0,7.0
325,Mahindra Xylo E8,Mahindra,Diesel,Individual,Manual,Second Owner,2010.0,90000.0,14.0,2498.0,112.0,8.0
326,Mahindra Xylo H4,Mahindra,Diesel,Individual,Manual,Second Owner,2015.0,130000.0,14.02,2179.0,118.3,7.0
327,Mahindra Xylo H9,Mahindra,Diesel,Individual,Manual,Second Owner,2014.5,102500.0,14.02,2179.0,118.3,8.0
328,Maruti 800 AC,Maruti,Petrol,Individual,Manual,Second Owner,2005.0,60000.0,16.1,796.0,37.0,4.0
329,Maruti 800 DX,Maruti,Petrol,Individual,Manual,Second Owner,1998.5,42500.0,16.1,796.0,37.0,4.0
330,Maruti 800 EX,Maruti,Petrol,Individual,Manual,Second Owner,2003.5,78044.0,16.1,796.0,37.0,4.0
331,Maruti 800 Std,Maruti,Petrol,Individual,Manual,First Owner,2003.0,70000.0,16.1,796.0,37.0,4.0
332,Maruti 800 Uniq,Maruti,Petrol,Individual,Manual,Fourth & Above Owner,2010.0,100000.0,14.0,796.0,37.5,5.0
333,Maruti A-Star Lxi,Maruti,Petrol,Individual,Manual,Third Owner,2010.0,59350.0,19.0,998.0,66.1,5.0
334,Maruti A-Star Vxi,Maruti,Petrol,Individual,Manual,First Owner,2010.0,65000.0,19.0,998.0,66.1,5.0
335,Maruti A-Star Zxi,Maruti,Petrol,Individual,Manual,Second Owner,2012.0,98500.0,19.0,998.0,66.1,5.0
336,Maruti Alto 800,Maruti,Petrol,Individual,Manual,First Owner,2016.0,35000.0,22.74,796.0,47.3,5.0
337,Maruti Alto AX,Maruti,Petrol,Individual,Automatic,Second Owner,2005.0,90000.0,19.7,796.0,46.3,5.0
338,Maruti Alto Green,Maruti,CNG,Individual,Manual,Second Owner,2011.0,76150.0,26.83,796.0,38.4,5.0
339,Maruti Alto K10,Maruti,Petrol,Individual,Manual,First Owner,2015.0,40000.0,23.95,998.0,67.05,5.0
340,Maruti Alto LX,Maruti,Petrol,Individual,Manual,Second Owner,2007.0,80000.0,19.7,796.0,46.3,5.0
341,Maruti Alto LXI,Maruti,Petrol,Individual,Manual,Second Owner,2004.0,70000.0,19.7,796.0,46.3,5.0
342,Maruti Alto LXi,Maruti,Petrol,Individual,Manual,First Owner,2009.0,70000.0,19.7,796.0,46.3,5.0
343,Maruti Alto STD,Maruti,Petrol,Individual,Manual,First Owner,2009.0,100000.0,19.7,796.0,46.3,5.0
344,Maruti Alto Std,Maruti,Petrol,Individual,Manual,First Owner,2009.0,70000.0,19.7,796.0,46.3,5.0
345,Maruti Baleno Alpha,Maruti,Diesel,Dealer,Manual,First Owner,2018.0,38817.0,27.39,1248.0,74.0,5.0
346,Maruti Baleno Delta,Maruti,Petrol,Individual,Manual,First Owner,2017.0,30000.0,21.4,1197.0,83.1,5.0
347,Maruti Baleno LXI,Maruti,Petrol,Individual,Manual,Second Owner,2005.0,90000.0,15.4,1590.0,94.0,5.0
348,Maruti Baleno RS,Maruti,Petrol,Individual,Manual,First Owner,2018.0,15000.0,21.1,998.0,100.5,5.0
349,Maruti Baleno Sigma,Maruti,Petrol,Individual,Manual,First Owner,2017.0,32500.0,21.4,1197.0,82.44999999999999,5.0
350,Maruti Baleno Zeta,Maruti,Petrol,Individual,Manual,First Owner,2018.0,24573.5,21.4,1197.0,83.1,5.0
351,Maruti Celerio LDi,Maruti,Diesel,Individual,Manual,First Owner,2015.5,82500.0,27.62,793.0,47.0,5.0
352,Maruti Celerio LXI,Maruti,Petrol,Individual,Manual,First Owner,2014.0,36000.0,23.1,998.0,67.04,5.0
353,Maruti Celerio VDi,Maruti,Diesel,Individual,Manual,Second Owner,2015.5,80586.5,27.62,793.0,47.0,5.0
354,Maruti Celerio VXI,Maruti,Petrol,Individual,Manual,First Owner,2016.0,30000.0,23.1,998.0,67.04,5.0
355,Maruti Celerio VXi,Maruti,Petrol,Dealer,Automatic,First Owner,2019.0,9000.0,21.63,998.0,67.04,5.0
356,Maruti Celerio X,Maruti,Petrol,Individual,Manual,First Owner,2019.0,25000.0,21.63,998.0,67.0,5.0
357,Maruti Celerio ZDi,Maruti,Diesel,Individual,Manual,First Owner,2015.0,32500.0,27.62,793.0,47.0,5.0
358,Maruti Celerio ZXI,Maruti,Petrol,Individual,Manual,First Owner,2017.0,28500.0,23.1,998.0,67.04,5.0
359,Maruti Ciaz 1.3,Maruti,Diesel,Individual,Manual,First Owner,2018.0,28050.0,28.09,1248.0,88.5,5.0
360,Maruti Ciaz 1.4,Maruti,Petrol,Individual,Manual,First Owner,2018.0,26000.0,20.73,1373.0,91.1,5.0
361,Maruti Ciaz AT,Maruti,Petrol,Individual,Automatic,First Owner,2015.0,30000.0,19.12,1373.0,91.1,5.0
362,Maruti Ciaz Alpha,Maruti,Diesel,Individual,Manual,First Owner,2018.5,34000.0,28.09,1248.0,88.5,5.0
363,Maruti Ciaz Delta,Maruti,Petrol,Individual,Manual,Second Owner,2018.0,22000.0,21.56,1462.0,103.25,5.0
364,Maruti Ciaz RS,Maruti,Diesel,Dealer,Manual,First Owner,2016.5,70000.0,28.09,1248.0,88.5,5.0
365,Maruti Ciaz S,Maruti,Diesel,Individual,Manual,First Owner,2017.5,43873.5,28.09,1248.0,88.5,5.0
366,Maruti Ciaz VDI,Maruti,Diesel,Individual,Manual,First Owner,2016.5,75000.0,28.09,1248.0,88.5,5.0
367,Maruti Ciaz VDi,Maruti,Diesel,Individual,Manual,First Owner,2015.0,70000.0,27.15,1248.0,88.5,5.0
368,Maruti Ciaz VXi,Maruti,Petrol,Individual,Manual,First Owner,2015.0,26000.0,20.73,1373.0,91.1,5.0
369,Maruti Ciaz ZDi,Maruti,Diesel,Individual,Manual,First Owner,2015.0,70000.0,28.09,1248.0,88.5,5.0
370,Maruti Ciaz ZXi,Maruti,Petrol,Individual,Manual,First Owner,2015.5,33000.0,20.73,1373.0,91.1,5.0
371,Maruti Ciaz Zeta,Maruti,Petrol,Dealer,Manual,First Owner,2018.0,35750.0,24.369999999999997,1355.0,95.875,5.0
372,Maruti Dzire LXI,Maruti,Petrol,Individual,Manual,First Owner,2020.0,15000.0,23.26,1197.0,88.5,5.0
373,Maruti Dzire VXI,Maruti,Petrol,Individual,Manual,First Owner,2020.0,70000.0,23.26,1197.0,88.5,5.0
374,Maruti Dzire ZXI,Maruti,Petrol,Individual,Manual,First Owner,2020.0,20000.0,23.26,1197.0,88.5,5.0
375,Maruti Eeco 5,Maruti,Petrol,Individual,Manual,First Owner,2016.0,49025.0,15.37,1196.0,73.0,5.0
376,Maruti Eeco 7,Maruti,Petrol,Individual,Manual,Second Owner,2016.0,47000.0,15.37,1196.0,73.0,7.0
377,Maruti Eeco CNG,Maruti,CNG,Individual,Manual,First Owner,2017.0,50000.0,21.94,1196.0,61.7,5.0
378,Maruti Eeco Smiles,Maruti,Petrol,Individual,Manual,Second Owner,2013.0,100000.0,15.1,1196.0,73.0,5.0
379,Maruti Ertiga 1.5,Maruti,Diesel,Individual,Manual,First Owner,2016.0,80500.0,24.2,1498.0,93.87,7.0
380,Maruti Ertiga BSIV,Maruti,Petrol,Individual,Manual,First Owner,2016.5,34500.0,17.5,1373.0,91.1,7.0
381,Maruti Ertiga LDI,Maruti,Diesel,Individual,Manual,First Owner,2012.5,90000.0,20.77,1248.0,88.76,7.0
382,Maruti Ertiga LXI,Maruti,Petrol,Individual,Manual,First Owner,2014.0,80000.0,16.02,1373.0,93.7,7.0
383,Maruti Ertiga SHVS,Maruti,Diesel,Individual,Manual,First Owner,2017.0,66000.0,24.52,1248.0,88.5,7.0
384,Maruti Ertiga VDI,Maruti,Diesel,Individual,Manual,First Owner,2014.0,90000.0,20.77,1248.0,88.76,7.0
385,Maruti Ertiga VXI,Maruti,Petrol,Individual,Manual,First Owner,2014.0,59000.0,16.02,1373.0,93.7,7.0
386,Maruti Ertiga ZDI,Maruti,Diesel,Individual,Manual,First Owner,2014.0,80000.0,20.77,1248.0,88.8,7.0
387,Maruti Ertiga ZXI,Maruti,Petrol,Individual,Manual,First Owner,2015.0,60000.0,16.02,1373.0,93.7,7.0
388,Maruti Esteem AX,Maruti,Petrol,Individual,Automatic,Fourth & Above Owner,1997.0,94000.0,15.9,1298.0,85.0,5.0
389,Maruti Esteem DI,Maruti,Diesel,Individual,Manual,First Owner,2003.0,20000.0,15.9,1527.0,57.0,5.0
390,Maruti Esteem LX,Maruti,Petrol,Individual,Manual,Fourth & Above Owner,1999.0,70000.0,15.9,1298.0,85.0,5.0
391,Maruti Esteem Lxi,Maruti,Petrol,Individual,Manual,Third Owner,2007.0,70000.0,15.9,1298.0,85.0,5.0
392,Maruti Esteem Vxi,Maruti,Petrol,Individual,Manual,Third Owner,2005.0,80000.0,15.9,1298.0,85.0,5.0
393,Maruti Gypsy King,Maruti,Petrol,Individual,Manual,First Owner,2010.0,70000.0,11.96,1298.0,80.0,8.0
394,Maruti Ignis 1.2,Maruti,Petrol,Individual,Manual,First Owner,2018.0,19000.0,20.89,1197.0,81.8,5.0
395,Maruti Ignis 1.3,Maruti,Diesel,Individual,Automatic,First Owner,2017.0,37000.0,26.8,1248.0,74.0,5.0
396,Maruti Ignis Zeta,Maruti,Petrol,Individual,Automatic,First Owner,2020.0,5000.0,20.89,1197.0,81.8,5.0
397,Maruti Omni 5,Maruti,Petrol,Individual,Manual,Second Owner,2011.0,70000.0,14.0,796.0,35.0,5.0
398,Maruti Omni 8,Maruti,Petrol,Individual,Manual,Second Owner,2011.0,66000.0,16.85,796.0,35.0,6.5
399,Maruti Omni E,Maruti,Petrol,Individual,Manual,First Owner,2016.5,40000.0,16.8,796.0,34.2,8.0
400,Maruti Omni LPG,Maruti,LPG,Individual,Manual,Second Owner,2008.5,157000.0,10.9,796.0,32.8,5.0
401,Maruti Omni Limited,Maruti,Petrol,Individual,Manual,First Owner,2013.0,66000.0,14.7,796.0,37.0,8.0
402,Maruti Omni MPI,Maruti,Petrol,Individual,Manual,First Owner,2014.0,48676.0,16.8,796.0,34.2,5.0
403,Maruti Ritz Genus,Maruti,Diesel,Individual,Manual,Second Owner,2010.0,94000.0,21.1,1248.0,75.0,5.0
404,Maruti Ritz LDi,Maruti,Diesel,Individual,Manual,Second Owner,2012.0,120000.0,23.2,1248.0,73.94,5.0
405,Maruti Ritz LXI,Maruti,Petrol,Individual,Manual,Second Owner,2011.0,53000.0,21.1,1197.0,85.8,5.0
406,Maruti Ritz LXi,Maruti,Petrol,Individual,Manual,Second Owner,2016.0,86000.0,18.5,1197.0,85.8,5.0
407,Maruti Ritz VDi,Maruti,Diesel,Individual,Manual,First Owner,2012.0,90000.0,21.1,1248.0,73.9,5.0
408,Maruti Ritz VXI,Maruti,Petrol,Individual,Manual,First Owner,2010.0,40000.0,21.1,1197.0,85.8,5.0
409,Maruti Ritz VXi,Maruti,Petrol,Individual,Manual,First Owner,2012.0,47000.0,18.5,1197.0,85.8,5.0
410,Maruti Ritz ZDi,Maruti,Diesel,Individual,Manual,Second Owner,2013.5,105000.0,23.2,1248.0,73.94,5.0
411,Maruti Ritz ZXi,Maruti,Petrol,Individual,Manual,Second Owner,2012.0,70000.0,18.5,1197.0,85.8,5.0
412,Maruti S-Cross 2017-2020,Maruti,Diesel,Individual,Manual,First Owner,2018.0,32000.0,25.1,1248.0,88.5,5.0
413,Maruti S-Presso VXI,Maruti,Petrol,Individual,Automatic,First Owner,2019.0,5000.0,21.7,998.0,67.0,5.0
414,Maruti SX4 Celebration,Maruti,Diesel,Individual,Manual,First Owner,2011.0,120000.0,21.5,1248.0,88.8,5.0
415,Maruti SX4 Green,Maruti,CNG,Individual,Manual,Second Owner,2010.0,90000.0,21.4,1586.0,103.3,5.0
416,Maruti SX4 S,Maruti,Diesel,Individual,Manual,First Owner,2016.0,52000.0,23.65,1248.0,88.5,5.0
417,Maruti SX4 VDI,Maruti,Diesel,Individual,Manual,Second Owner,2012.0,85000.0,21.5,1248.0,88.8,5.0
418,Maruti SX4 Vxi,Maruti,Petrol,Individual,Manual,Second Owner,2009.0,105000.0,15.0,1586.0,104.68,5.0
419,Maruti SX4 ZDI,Maruti,Diesel,Individual,Manual,Second Owner,2012.0,80000.0,21.5,1248.0,88.8,5.0
420,Maruti SX4 ZXI,Maruti,Petrol,Individual,Automatic,Third Owner,2010.5,65000.0,12.6,1586.0,103.3,5.0
421,Maruti SX4 Zxi,Maruti,Petrol,Individual,Manual,First Owner,2009.0,89000.0,15.0,1586.0,104.68,5.0
422,Maruti Swift 1.2,Maruti,Petrol,Individual,Manual,First Owner,2014.0,80000.0,20.4,1197.0,81.8,5.0
423,Maruti Swift AMT,Maruti,Petrol,Dealer,Automatic,First Owner,2019.0,20000.0,22.0,1197.0,81.8,5.0
424,Maruti Swift DDiS,Maruti,Diesel,Individual,Manual,First Owner,2017.0,49000.0,28.4,1248.0,74.0,5.0
425,Maruti Swift Dzire,Maruti,Diesel,Individual,Manual,First Owner,2015.0,70000.0,23.4,1248.0,74.0,5.0
426,Maruti Swift Glam,Maruti,Petrol,Individual,Manual,Second Owner,2007.0,78000.0,16.1,1298.0,88.2,5.0
427,Maruti Swift LDI,Maruti,Diesel,Individual,Manual,First Owner,2015.0,65000.0,25.2,1248.0,74.0,5.0
