name,Company,Car,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine_cc,max_power_bhp,seats,selling_price,max_torque,at_rpm
Chevrolet Optra 1.6 LT Royale,Chevrolet,Chevrolet Optra 1.6,2006,94000,Petrol,Individual,Manual,Second Owner,17.4 kmpl,1599 ,104 ,5.0,190000,148Nm, 3500rpm
Hyundai EON Magna Plus,Hyundai,Hyundai EON Magna,2015,120000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 ,55.2 ,5.0,225000,74.5Nm, 4000rpm
Chevrolet Spark 1.0 LT,Chevrolet,Chevrolet Spark 1,2012,110000,Petrol,Individual,Manual,First Owner,16.2 kmpl,995 ,62.1 ,5.0,130000,90.3Nm, 4200rpm
Maruti Ciaz Alpha Diesel,Maruti,Maruti Ciaz Alpha,2018,50000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 ,88.50 ,5.0,1000000,200Nm, 1750rpm
Tata Indica V2 DLS TC,Tata,Tata Indica V2,2004,90000,Diesel,Individual,Manual,Third Owner,16.8 kmpl,1405 ,62 ,5.0,55000,12.5," 2,500(kgm@ rpm)"
Chevrolet Sail 1.2 LT ABS,Chevrolet,Chevrolet Sail 1.2,2014,23000,Petrol,Individual,Manual,First Owner,18.2 kmpl,1199 ,82.4 ,5.0,330000,108.5Nm, 5000rpm
Maruti Omni MPI STD BSIV,Maruti,Maruti Omni MPI,2013,50000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 ,34.2 ,5.0,166000,59Nm, 2500rpm
Mahindra Xylo D4 BSIII,Mahindra,Mahindra Xylo D4,2013,300000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2498 ,112 ,8.0,200000,260 Nm ,t 1800-2200 rpm
Maruti Alto K10 2010-2014 VXI,Maruti,Maruti Alto K10,2011,50000,Petrol,Individual,Manual,Third Owner,20.92 kmpl,998 ,67.1 ,5.0,140000,90Nm, 3500rpm
Maruti Eeco CNG 5 Seater AC BSIV,Maruti,Maruti Eeco CNG,2017,140000,CNG,Individual,Manual,First Owner,21.94 km/kg,1196 ,61.7 ,5.0,370000,85Nm, 3000rpm
Hyundai Elite i20 Sportz Plus CVT BSIV,Hyundai,Hyundai Elite i20,2019,16000,Petrol,Individual,Automatic,First Owner,17.4 kmpl,1197 ,81.86 ,5.0,720000,117nm, 4000rpm
Hyundai i20 Active 1.4,Hyundai,Hyundai i20 Active,2015,126000,Diesel,Individual,Manual,First Owner,21.19 kmpl,1396 ,88.73 ,5.0,500000,219.66nm, 1500-2750rpm
Hyundai Xcent 1.2 VTVT SX,Hyundai,Hyundai Xcent 1.2,2019,15000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 ,81.86 ,5.0,570000,113.75nm, 4000rpm
Maruti Swift Dzire 1.2 Vxi BSIV,Maruti,Maruti Swift Dzire,2010,200000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1197 ,85.8 ,5.0,210000,114Nm, 4000rpm
Maruti Alto LXi,Maruti,Maruti Alto LXi,2009,120000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 ,46.3 ,5.0,120000,62Nm, 3000rpm
Hyundai Getz GLX,Hyundai,Hyundai Getz GLX,2005,120000,Petrol,Individual,Manual,Fourth & Above Owner,15.3 kmpl,1341 ,83 ,5.0,95000,115Nm, 3200rpm
Hyundai i10 Sportz AT,Hyundai,Hyundai i10 Sportz,2010,110000,Petrol,Individual,Automatic,Third Owner,16.95 kmpl,1197 ,78.9 ,5.0,196000,111.8Nm, 4000rpm
Maruti Eeco 5 Seater AC BSIV,Maruti,Maruti Eeco 5,2016,38000,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 ,73 ,5.0,392000,101Nm, 3000rpm
Tata Manza Aura Plus Safire,Tata,Tata Manza Aura,2010,104000,Petrol,Individual,Manual,First Owner,15.0 kmpl,1368 ,90 ,5.0,150000,116Nm, 4750rpm
Honda BR-V i-VTEC E MT,Honda,Honda BR-V i-VTEC,2017,120000,Petrol,Individual,Manual,First Owner,15.4 kmpl,1497 ,117.3 ,7.0,595000,145Nm, 4600rpm
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Maruti,Maruti Vitara Brezza,2018,35000,Diesel,Individual,Automatic,First Owner,24.3 kmpl,1248 ,88.5 ,5.0,833000,200Nm, 1750rpm
Maruti Swift VDI,Maruti,Maruti Swift VDI,2011,210000,Diesel,Individual,Manual,First Owner,22.9 kmpl,1248 ,74 ,5.0,280000,190Nm, 2000rpm
Maruti 800 Std BSII,Maruti,Maruti 800 Std,2003,35000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 ,37 ,4.0,35000,59Nm, 2500rpm
Maruti Ritz VDi,Maruti,Maruti Ritz VDi,2009,85000,Diesel,Individual,Manual,Third Owner,21.1 kmpl,1248 ,73.9 ,5.0,180000,113Nm, 4500rpm
Maruti Wagon R VXi BSII,Maruti,Maruti Wagon R,2012,80000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 ,67.1 ,5.0,225000,90Nm, 3500rpm
Mercedes-Benz New C-Class 220 CDI AT,Mercedes-Benz,Mercedes-Benz New C-Class,2012,50000,Diesel,Individual,Automatic,First Owner,14.84 kmpl,2143 ,170 ,5.0,1400000,400Nm, 1400-2800rpm
Hyundai i20 Era Diesel,Hyundai,Hyundai i20 Era,2009,40000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 ,90 ,5.0,340000,22.4 kgm ,t 1750-2750rpm
Toyota Innova 2.5 GX 8 STR,Toyota,Toyota Innova 2.5,2010,216000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 ,102 ,8.0,550000,20.4, 1400-3400(kgm@ rpm)
Maruti Wagon R VXI BS IV,Maruti,Maruti Wagon R,2017,65000,Petrol,Individual,Manual,Second Owner,20.51 kmpl,998 ,67.04 ,5.0,400000,90Nm, 3500rpm
Hyundai Getz GLE,Hyundai,Hyundai Getz GLE,2006,100000,Petrol,Individual,Manual,Third Owner,15.3 kmpl,1341 ,83 ,5.0,90000,115Nm, 3200rpm
Maruti Ciaz VDi Plus SHVS,Maruti,Maruti Ciaz VDi,2015,84000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 ,88.5 ,5.0,650000,200Nm, 1750rpm
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,Toyota Innova 2.5,2012,210000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 ,100 ,7.0,730000,200Nm, 1400-3400rpm
Chevrolet Aveo U-VA 1.2 LS,Chevrolet,Chevrolet Aveo U-VA,2010,60000,Petrol,Individual,Manual,First Owner,15.26 kmpl,1150 ,74.9 ,5.0,125000,110Nm, 4400rpm
Hyundai Getz GLE,Hyundai,Hyundai Getz GLE,2006,100000,Petrol,Individual,Manual,Fourth & Above Owner,15.3 kmpl,1341 ,83 ,5.0,81000,115Nm, 3200rpm
Maruti Swift Glam,Maruti,Maruti Swift Glam,2007,78000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,1298 ,88.2 ,5.0,170000,11.5," 4,500(kgm@ rpm)"
Honda City 1.5 EXI,Honda,Honda City 1.5,2002,161000,Petrol,Individual,Manual,Fourth & Above Owner,13.0 kmpl,1493 ,100 ,5.0,81000,13.1kgm, 4600rpm
Maruti Alto LX,Maruti,Maruti Alto LX,2005,70000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 ,46.3 ,5.0,95000,62Nm, 3000rpm
Tata Nano Cx BSIV,Tata,Tata Nano Cx,2010,50000,Petrol,Individual,Manual,Third Owner,26.0 kmpl,624 ,35 ,4.0,55000,48," 3,000+/-500(NM@ rpm)"
Renault Lodgy World Edition 110PS,Renault,Renault Lodgy World,2017,65000,Diesel,Individual,Manual,First Owner,19.98 kmpl,1461 ,108.5 ,8.0,880000,245Nm, 1750rpm
Renault KWID RXL,Renault,Renault KWID RXL,2015,50000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 ,53.3 ,5.0,200000,72Nm, 4386rpm
Maruti Wagon R VXI 1.2,Maruti,Maruti Wagon R,2019,25000,Petrol,Individual,Manual,First Owner,20.52 kmpl,1197 ,81.80 ,5.0,480000,113Nm, 4200rpm
Mahindra Bolero 2011-2019 Plus AC,Mahindra,Mahindra Bolero 2011-2019,2013,100000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 ,62.1 ,9.0,480000,195Nm, 1440-2200rpm
Hyundai i20 1.2 Asta,Hyundai,Hyundai i20 1.2,2018,6000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 ,81.83 ,5.0,700000,114.7Nm, 4000rpm
Honda BRV i-DTEC V MT,Honda,Honda BRV i-DTEC,2016,72113,Diesel,Individual,Manual,First Owner,21.9 kmpl,1498 ,98.6 ,7.0,850000,200Nm, 1750rpm
Tata Indigo CR4,Tata,Tata Indigo CR4,2012,40000,Diesel,Individual,Manual,First Owner,23.57 kmpl,1396 ,70 ,5.0,300000,140Nm, 1800-3000rpm
Hyundai i20 1.2 Asta Option,Hyundai,Hyundai i20 1.2,2017,8000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 ,81.83 ,5.0,650000,114.7Nm, 4000rpm
Maruti Ritz VXI,Maruti,Maruti Ritz VXI,2010,20000,Petrol,Individual,Manual,First Owner,21.1 kmpl,1197 ,85.80 ,5.0,220000,114Nm, 4000rpm
Tata Indigo CS LS (TDI) BS-III,Tata,Tata Indigo CS,2014,45000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 ,69.01 ,5.0,300000,135Nm, 2500rpm
Maruti Swift Dzire VDI,Maruti,Maruti Swift Dzire,2014,80000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 ,74 ,5.0,450000,190Nm, 2000rpm
Maruti Swift VDI BSIV,Maruti,Maruti Swift VDI,2014,90000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 ,74 ,5.0,400000,190Nm, 2000rpm
Maruti S-Cross 2017-2020 Alpha DDiS 200 SH,Maruti,Maruti S-Cross 2017-2020,2018,25000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1248 ,88.5 ,5.0,1030000,200Nm, 1750rpm
Tata Manza Aura Quadrajet,Tata,Tata Manza Aura,2010,100000,Diesel,Individual,Manual,Second Owner,18.8 kmpl,1248 ,90 ,5.0,190000,200Nm, 1750-3000rpm
Ford Fiesta 1.4 Duratec EXI,Ford,Ford Fiesta 1.4,2006,60000,Petrol,Individual,Manual,Second Owner,16.6 kmpl,1388 ,68 ,5.0,140000,16.3," 2,000(kgm@ rpm)"
Hyundai i20 Active S Diesel,Hyundai,Hyundai i20 Active,2018,30000,Diesel,Individual,Manual,First Owner,21.19 kmpl,1396 ,88.76 ,5.0,800000,219.66nm, 1500-2750rpm
Mahindra Scorpio LX 2.6 Turbo,Mahindra,Mahindra Scorpio LX,2007,120000,Diesel,Individual,Manual,Third Owner,10.5 kmpl,2609 ,120 ,7.0,229999,290Nm, 1800-2800rpm
Tata Safari DICOR 2.2 EX 4x2,Tata,Tata Safari DICOR,2011,80000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 ,138.03 ,7.0,300000,320Nm, 1700-2700rpm
Volkswagen Vento Diesel Highline,Volkswagen,Volkswagen Vento Diesel,2011,69000,Diesel,Individual,Manual,Second Owner,20.54 kmpl,1598 ,103.6 ,5.0,375000,250Nm, 1500-2500rpm
Chevrolet Beat LT,Chevrolet,Chevrolet Beat LT,2010,75000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1199 ,79.4 ,5.0,140000,108Nm, 4400rpm
Maruti Alto LX,Maruti,Maruti Alto LX,2004,113000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 ,46.3 ,5.0,60000,62Nm, 3000rpm
Hyundai Xcent 1.1 CRDi S Option,Hyundai,Hyundai Xcent 1.1,2014,90000,Diesel,Individual,Manual,Second Owner,24.4 kmpl,1120 ,71.01 ,5.0,420000,180.4Nm, 1750-2500rpm
Renault Pulse RxZ,Renault,Renault Pulse RxZ,2012,100000,Diesel,Individual,Manual,Third Owner,23.08 kmpl,1461 ,63.12 ,5.0,300000,160Nm, 2000rpm
Tata Indica Vista Quadrajet VX,Tata,Tata Indica Vista,2012,110000,Diesel,Individual,Manual,First Owner,22.3 kmpl,1248 ,74 ,5.0,150000,190Nm, 1750-3000rpm
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,Ford,Ford EcoSport 1.5,2015,90000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 ,98.59 ,5.0,600000,205Nm, 1750-3250rpm
Ford Figo Diesel Titanium,Ford,Ford Figo Diesel,2011,100000,Diesel,Individual,Manual,Second Owner,20.0 kmpl,1399 ,68 ,5.0,204999,160Nm, 2000rpm
Hyundai Xcent 1.2 CRDi SX,Hyundai,Hyundai Xcent 1.2,2017,50000,Diesel,Individual,Manual,First Owner,25.4 kmpl,1186 ,73.97 ,5.0,625000,190.25nm, 1750-2250rpm
Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),Fiat,Fiat Grande Punto,2011,200000,Diesel,Individual,Manual,First Owner,20.5 kmpl,1248 ,91.7 ,5.0,280000,209Nm, 2000rpm
Hyundai Santa Fe 2WD AT,Hyundai,Hyundai Santa Fe,2014,146000,Diesel,Individual,Automatic,Second Owner,13.01 kmpl,2199 ,194.3 ,7.0,1050000,436.39Nm, 1800-2500rpm
Chevrolet Optra Magnum 1.6 LT Petrol,Chevrolet,Chevrolet Optra Magnum,2009,80000,Petrol,Individual,Manual,Second Owner,12.9 kmpl,1598 ,102.5 ,5.0,250000,148Nm, 4000rpm
Tata New Safari DICOR 2.2 EX 4x2,Tata,Tata New Safari,2010,96443,Diesel,Individual,Manual,Second Owner,11.57 kmpl,2179 ,138.1 ,7.0,535000,320Nm, 1700-2700rpm
Honda Accord 2.4 AT,Honda,Honda Accord 2.4,2009,100000,Petrol,Individual,Automatic,Second Owner,11.7 kmpl,2354 ,177.6 ,5.0,400000,222Nm, 4300rpm
Maruti Swift AMT VXI,Maruti,Maruti Swift AMT,2019,10000,Petrol,Individual,Automatic,First Owner,21.21 kmpl,1197 ,81.80 ,5.0,610000,113Nm, 4200rpm
Maruti Swift Dzire VDI,Maruti,Maruti Swift Dzire,2014,110000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 ,74 ,5.0,509999,190Nm, 2000rpm
Tata Safari Storme VX,Tata,Tata Safari Storme,2014,86000,Diesel,Individual,Manual,Second Owner,14.0 kmpl,2179 ,138.1 ,7.0,521000,320Nm, 1700-2700rpm
Maruti Swift Dzire VDI,Maruti,Maruti Swift Dzire,2014,100000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 ,74 ,5.0,511000,190Nm, 2000rpm
Hyundai i20 Sportz 1.4 CRDi,Hyundai,Hyundai i20 Sportz,2014,91000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 ,88.73 ,5.0,451000,219.7Nm, 1500-2750rpm
Hyundai i10 Sportz,Hyundai,Hyundai i10 Sportz,2009,100000,Petrol,Individual,Manual,First Owner,20.36 kmpl,1197 ,78.9 ,5.0,170000,111.8Nm, 4000rpm
Maruti Swift Dzire VDI,Maruti,Maruti Swift Dzire,2013,120000,Diesel,Individual,Manual,Second Owner,23.4 kmpl,1248 ,74 ,5.0,450000,190Nm, 2000rpm
Honda City 1.5 V Elegance,Honda,Honda City 1.5,2011,90000,Petrol,Individual,Manual,Second Owner,17.0 kmpl,1497 ,118 ,5.0,375000,146Nm ,t 4800 rpm
Maruti Alto 800 LXI,Maruti,Maruti Alto 800,2016,60000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 ,47.3 ,5.0,305000,69Nm, 3500rpm
Renault KWID RXT,Renault,Renault KWID RXT,2016,51500,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 ,53.3 ,5.0,315000,72Nm, 4386rpm
Chevrolet Sail 1.3 LS,Chevrolet,Chevrolet Sail 1.3,2016,60000,Diesel,Individual,Manual,Second Owner,22.1 kmpl,1248 ,74 ,5.0,250000,190Nm, 1750rpm
Ford Figo Diesel EXI,Ford,Ford Figo Diesel,2012,104500,Diesel,Individual,Manual,Second Owner,20.0 kmpl,1399 ,68 ,5.0,200000,160Nm, 2000rpm
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,Ford,Ford EcoSport 1.5,2018,30000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 ,98.96 ,5.0,950000,205Nm, 1750-3250rpm
Renault Duster 110PS Diesel RxL,Renault,Renault Duster 110PS,2012,120000,Diesel,Individual,Manual,Third Owner,19.01 kmpl,1461 ,108.45 ,5.0,400000,248Nm, 2250rpm
Maruti Swift ZDi,Maruti,Maruti Swift ZDi,2014,100000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 ,74 ,5.0,509999,190Nm, 2000rpm
Honda Civic 1.8 V MT,Honda,Honda Civic 1.8,2008,90000,Petrol,Individual,Manual,Third Owner,13.5 kmpl,1799 ,130 ,5.0,375000,172Nm, 4300rpm
Maruti Wagon R LXI,Maruti,Maruti Wagon R,2005,150000,Petrol,Individual,Manual,Third Owner,18.9 kmpl,998 ,67.1 ,5.0,150000,90Nm, 3500rpm
Maruti Wagon R AX,Maruti,Maruti Wagon R,2006,60000,Petrol,Individual,Automatic,First Owner,18.9 kmpl,998 ,67.1 ,5.0,75000,90Nm, 3500rpm
Hyundai Verna 1.4 VTVT,Hyundai,Hyundai Verna 1.4,2015,50000,Petrol,Individual,Manual,Second Owner,17.43 kmpl,1396 ,105.5 ,5.0,465000,135.3Nm, 5000rpm
Hyundai Grand i10 1.2 CRDi Asta,Hyundai,Hyundai Grand i10,2019,10000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1186 ,73.97 ,5.0,700000,190.24nm, 1750-2250rpm
Mahindra Scorpio 1.99 S10,Mahindra,Mahindra Scorpio 1.99,2015,120000,Diesel,Individual,Manual,Third Owner,15.4 kmpl,1997 ,120 ,7.0,950000,280Nm, 1800-2800rpm
Hyundai i20 1.2 Asta,Hyundai,Hyundai i20 1.2,2017,40000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 ,81.83 ,5.0,610000,114.7Nm, 4000rpm
Hyundai Santro GS zipDrive - Euro II,Hyundai,Hyundai Santro GS,2004,120000,Petrol,Individual,Manual,Second Owner,,,,,60000,,
Maruti Alto 800 LXI,Maruti,Maruti Alto 800,2014,50000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 ,47.3 ,5.0,235000,69Nm, 3500rpm
Maruti Eeco 5 Seater AC BSIV,Maruti,Maruti Eeco 5,2017,90000,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 ,73 ,5.0,330000,101Nm, 3000rpm
Nissan Terrano XE 85 PS,Nissan,Nissan Terrano XE,2014,90000,Diesel,Individual,Manual,First Owner,20.45 kmpl,1461 ,83.8 ,5.0,472000,200Nm, 1900rpm
Maruti Swift VXI,Maruti,Maruti Swift VXI,2019,10000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 ,81.80 ,5.0,585000,113Nm, 4200rpm
Mahindra Supro LX 8 Str,Mahindra,Mahindra Supro LX,2018,10000,Diesel,Individual,Manual,First Owner,23.5 kmpl,909 ,45 ,8.0,500000,98Nm, 1600-3000rpm
Maruti Alto K10 VXI,Maruti,Maruti Alto K10,2019,27000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 ,67.05 ,5.0,360000,90Nm, 3500rpm
Maruti Swift Dzire VDI,Maruti,Maruti Swift Dzire,2016,70000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 ,74 ,5.0,649000,190Nm, 2000rpm
Maruti Omni MPI CARGO BSIV,Maruti,Maruti Omni MPI,2017,50000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 ,34.2 ,5.0,200000,59Nm, 2500rpm
Maruti Swift 1.3 VXi,Maruti,Maruti Swift 1.3,2008,60000,Petrol,Individual,Manual,First Owner,,,,,240000,,
Hyundai Grand i10 CRDi Magna,Hyundai,Hyundai Grand i10,2014,110000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1120 ,70 ,5.0,400000,160Nm, 1500-2750rpm
Maruti Celerio VDi,Maruti,Maruti Celerio VDi,2015,100000,Diesel,Individual,Manual,Second Owner,27.62 kmpl,793 ,47 ,5.0,250000,125Nm, 2000rpm
Mahindra Marazzo M6,Mahindra,Mahindra Marazzo M6,2018,50000,Diesel,Individual,Manual,First Owner,17.3 kmpl,1497 ,121 ,7.0,1200000,300Nm, 1750-2500rpm
Maruti Swift Vdi BSIII,Maruti,Maruti Swift Vdi,2009,105000,Diesel,Individual,Manual,Second Owner,17.8 kmpl,1248 ,75 ,5.0,250000,190Nm, 2000rpm
Toyota Innova 2.5 GX (Diesel) 8 Seater,Toyota,Toyota Innova 2.5,2013,110000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 ,100.6 ,8.0,819999,200Nm, 1200-3600rpm
Mahindra XUV500 W8 2WD,Mahindra,Mahindra XUV500 W8,2014,60000,Diesel,Individual,Manual,Second Owner,15.1 kmpl,2179 ,140 ,7.0,800000,330Nm, 1600-2800rpm
Ford Ecosport 1.0 Ecoboost Titanium Optional,Ford,Ford Ecosport 1,2013,49102,Petrol,Dealer,Manual,Second Owner,18.88 kmpl,999 ,123.37 ,5.0,429000,170Nm, 1400-4500rpm
Hyundai Santro Xing GLS,Hyundai,Hyundai Santro Xing,2010,60000,Petrol,Individual,Manual,Third Owner,17.92 kmpl,1086 ,62.1 ,5.0,150000,96.1Nm, 3000rpm
Maruti Swift VDI BSIV,Maruti,Maruti Swift VDI,2010,120000,Diesel,Individual,Manual,Second Owner,,,,,315000,,
Chevrolet Beat Diesel LT,Chevrolet,Chevrolet Beat Diesel,2012,90000,Diesel,Individual,Manual,First Owner,25.44 kmpl,936 ,57.6 ,5.0,170000,150Nm, 1750rpm
Honda Brio Exclusive Edition,Honda,Honda Brio Exclusive,2014,33033,Petrol,Dealer,Manual,First Owner,19.4 kmpl,1198 ,86.8 ,5.0,335000,109Nm, 4500rpm
Hyundai Grand i10 AT Asta,Hyundai,Hyundai Grand i10,2015,63063,Petrol,Dealer,Automatic,First Owner,18.9 kmpl,1197 ,82 ,5.0,465000,114Nm, 4000rpm
Renault Duster 110PS Diesel RxL,Renault,Renault Duster 110PS,2013,81000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 ,108.45 ,5.0,360000,248Nm, 2250rpm
Hyundai Xcent 1.2 CRDi SX,Hyundai,Hyundai Xcent 1.2,2018,80000,Diesel,Individual,Manual,First Owner,25.4 kmpl,1186 ,73.97 ,5.0,570000,190.25nm, 1750-2250rpm
Renault Duster 110PS Diesel RxZ,Renault,Renault Duster 110PS,2012,105000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 ,108.45 ,5.0,350000,248Nm, 2250rpm
Mahindra Ingenio CRDe,Mahindra,Mahindra Ingenio CRDe,2017,60000,Diesel,Individual,Manual,First Owner,,,,,600000,,
Maruti Ertiga BSIV VXI,Maruti,Maruti Ertiga BSIV,2017,227000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1373 ,91.1 ,7.0,700000,130Nm, 4000rpm
Renault Duster 110PS Diesel RxZ,Renault,Renault Duster 110PS,2012,100000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 ,108.45 ,5.0,375000,248Nm, 2250rpm
Maruti Eeco CNG 5 Seater AC BSIV,Maruti,Maruti Eeco CNG,2019,60000,CNG,Individual,Manual,First Owner,21.94 km/kg,1196 ,61.7 ,5.0,450000,85Nm, 3000rpm
Hyundai i20 Magna 1.4 CRDi (Diesel),Hyundai,Hyundai i20 Magna,2013,70000,Diesel,Individual,Manual,Third Owner,21.9 kmpl,1396 ,88.76 ,5.0,325000,219.6Nm, 1500-2750rpm
Volkswagen Vento Diesel Comfortline,Volkswagen,Volkswagen Vento Diesel,2011,120000,Diesel,Individual,Manual,Third Owner,20.54 kmpl,1598 ,103.6 ,5.0,260000,250Nm, 1500-2500rpm
Maruti Alto LXi BSIII,Maruti,Maruti Alto LXi,2009,80000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 ,46.3 ,5.0,130000,62Nm, 3000rpm
Tata New Safari DICOR 2.2 EX 4x2,Tata,Tata New Safari,2008,120000,Diesel,Individual,Manual,Fourth & Above Owner,11.57 kmpl,2179 ,138.1 ,7.0,150000,320Nm, 1700-2700rpm
Hyundai Santro Xing GLS,Hyundai,Hyundai Santro Xing,2014,40000,Petrol,Individual,Manual,First Owner,17.92 kmpl,1086 ,62.1 ,5.0,220000,96.1Nm, 3000rpm
Hyundai i10 Magna 1.2 iTech SE,Hyundai,Hyundai i10 Magna,2014,53000,Petrol,Individual,Manual,First Owner,20.36 kmpl,1197 ,78.9 ,5.0,275000,111.7Nm, 4000rpm
Maruti Swift LDI Optional,Maruti,Maruti Swift LDI,2017,60000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 ,74 ,5.0,455000,190Nm, 2000rpm
Hyundai i20 1.2 Magna Executive,Hyundai,Hyundai i20 1.2,2017,30000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 ,81.83 ,5.0,570000,114.7Nm, 4000rpm
Volkswagen Vento Diesel Highline,Volkswagen,Volkswagen Vento Diesel,2013,100000,Diesel,Individual,Manual,Third Owner,20.54 kmpl,1598 ,103.6 ,5.0,330000,250Nm, 1500-2500rpm
Toyota Innova Crysta 2.4 VX MT BSIV,Toyota,Toyota Innova Crysta,2018,70000,Diesel,Individual,Manual,First Owner,13.68 kmpl,2393 ,147.8 ,7.0,1576000,343Nm, 1400-2800rpm
Maruti Ertiga ZDI,Maruti,Maruti Ertiga ZDI,2012,98000,Diesel,Individual,Manual,Fourth & Above Owner,20.77 kmpl,1248 ,88.8 ,7.0,450000,200Nm, 1750rpm
Hyundai EON Magna Plus,Hyundai,Hyundai EON Magna,2014,60000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 ,55.2 ,5.0,250000,74.5Nm, 4000rpm
Hyundai i10 Sportz,Hyundai,Hyundai i10 Sportz,2010,80000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 ,78.9 ,5.0,165000,111.8Nm, 4000rpm
Mahindra Ssangyong Rexton RX7,Mahindra,Mahindra Ssangyong Rexton,2013,117000,Diesel,Dealer,Automatic,First Owner,11.18 kmpl,2696 ,184 ,7.0,800000,402Nm, 1600-3000rpm
Honda Jazz 1.2 V i VTEC,Honda,Honda Jazz 1.2,2018,8576,Petrol,Dealer,Manual,First Owner,18.7 kmpl,1199 ,88.7 ,5.0,680000,110Nm, 4800rpm
Tata Tigor 1.2 Revotron XZA,Tata,Tata Tigor 1.2,2017,19723,Petrol,Dealer,Automatic,First Owner,20.3 kmpl,1199 ,84 ,5.0,525000,114Nm, 3500rpm
Honda City 1.5 V MT Sunroof,Honda,Honda City 1.5,2016,21446,Petrol,Dealer,Manual,First Owner,16.8 kmpl,1497 ,116.3 ,5.0,825000,146Nm, 4800rpm
Maruti S-Cross 2017-2020 Sigma DDiS 200 SH,Maruti,Maruti S-Cross 2017-2020,2017,52289,Diesel,Dealer,Manual,First Owner,25.1 kmpl,1248 ,88.5 ,5.0,750000,200Nm, 1750rpm
Mahindra Scorpio S4 Plus,Mahindra,Mahindra Scorpio S4,2017,52236,Diesel,Dealer,Manual,First Owner,15.4 kmpl,2179 ,120 ,7.0,950000,280Nm, 1800-2800rpm
Mahindra Scorpio S4 Plus 4WD,Mahindra,Mahindra Scorpio S4,2017,54470,Diesel,Dealer,Manual,First Owner,15.4 kmpl,2179 ,120 ,7.0,950000,280Nm, 1800-2800rpm
