name,Company,Car,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,selling_price
Maruti Ritz VXi (ABS) BS IV,Maruti,Maruti Ritz VXi,2010,120000,Petrol,Individual,Manual,Second Owner,18.5 kmpl,1197 CC,85.80 bhp,114Nm@ 4000rpm,5,170000
Hyundai Verna 1.4 CRDi,Hyundai,Hyundai Verna 1.4,2015,60000,Diesel,Individual,Manual,Second Owner,24.8 kmpl,1396 CC,88.7 bhp,219.7Nm@ 1750-2750rpm,5,600000
Maruti Alto LXi,Maruti,Maruti Alto LXi,2011,100000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,130000
Hyundai Santro Xing GL PLUS CNG,Hyundai,Hyundai Santro Xing,2007,60000,CNG,Individual,Manual,Second Owner,,,,,,120000
Maruti 800 AC,Maruti,Maruti 800 AC,2011,120000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,100000
Renault KWID RXT,Renault,Renault KWID RXT,2016,27500,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5,310000
Maruti 800 AC,Maruti,Maruti 800 AC,2007,10000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,35000
Hyundai i20 Magna,Hyundai,Hyundai i20 Magna,2010,120000,Petrol,Individual,Manual,Third Owner,18.5 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5,200000
Maruti Swift VDI BSIV,Maruti,Maruti Swift VDI,2009,70000,Diesel,Individual,Manual,Second Owner,,,,,,270000
Hyundai i20 Sportz 1.4 CRDi,Hyundai,Hyundai i20 Sportz,2015,80000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,650000
Tata Indigo eCS GLS,Tata,Tata Indigo eCS,2013,120000,Petrol,Individual,Manual,First Owner,15.64 kmpl,1193 CC,64.1 bhp,100Nm@ 2700rpm,5,210000
Hyundai Xcent 1.1 CRDi S Option,Hyundai,Hyundai Xcent 1.1,2015,90000,Diesel,Individual,Manual,First Owner,24.4 kmpl,1120 CC,71.01 bhp,180.4Nm@ 1750-2500rpm,5,509999
Ford Figo Diesel Celebration Edition,Ford,Ford Figo Diesel,2013,70000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68.1 bhp,160Nm@ 2000rpm,5,229999
Renault Duster 110PS Diesel RxZ,Renault,Renault Duster 110PS,2014,188000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5,409999
Chevrolet Spark 1.0 LT,Chevrolet,Chevrolet Spark 1,2011,67840,Petrol,Individual,Manual,First Owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm,5,130000
Tata Nano CX,Tata,Tata Nano CX,2013,30000,Petrol,Individual,Manual,First Owner,25.4 kmpl,624 CC,37.48 bhp,51Nm@ 4000+/-500rpm,4,95000
Maruti Alto 800 LXI,Maruti,Maruti Alto 800,2016,35000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,225000
Maruti Swift VDI BSIV,Maruti,Maruti Swift VDI,2010,150000,Diesel,Individual,Manual,Second Owner,,,,,,256999
Maruti Vitara Brezza VDi Option,Maruti,Maruti Vitara Brezza,2017,100000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,775000
Maruti Wagon R VXI BS IV,Maruti,Maruti Wagon R,2017,30000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,420000
Hyundai Grand i10 Sportz Celebration Edition,Hyundai,Hyundai Grand i10,2016,70000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,480000
Toyota Qualis GS G1,Toyota,Toyota Qualis GS,2003,149032,Diesel,Individual,Manual,First Owner,,,,,,200000
Mahindra Bolero SLE,Mahindra,Mahindra Bolero SLE,2010,380000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7,260000
Toyota Etios Liva G,Toyota,Toyota Etios Liva,2011,84050,Petrol,Individual,Manual,First Owner,,,,,,210000
Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,Volkswagen,Volkswagen Polo 2015-2019,2018,15000,Petrol,Individual,Manual,First Owner,16.2 kmpl,1199 CC,74 bhp,110Nm@ 3000-4300rpm,5,600000
Ford Ikon 1.4 TDCi DuraTorq,Ford,Ford Ikon 1.4,2009,140000,Diesel,Individual,Manual,Second Owner,13.8 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5,140000
Maruti Omni 8 Seater BSII,Maruti,Maruti Omni 8,2010,120000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,8,130000
Maruti Swift VDI BSIV,Maruti,Maruti Swift VDI,2007,112880,Diesel,Dealer,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,195000
Tata Indica Vista TDI LS,Tata,Tata Indica Vista,2013,135000,Diesel,Dealer,Manual,Second Owner,19.4 kmpl,1405 CC,70 bhp,135.4Nm@ 2500rpm,5,210000
Maruti Wagon R LX,Maruti,Maruti Wagon R,2006,80000,Petrol,Individual,Manual,Third Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,130000
Chevrolet Beat LT,Chevrolet,Chevrolet Beat LT,2012,128000,Petrol,Individual,Manual,Third Owner,18.6 kmpl,1199 CC,79.4 bhp,108Nm@ 4400rpm,5,141000
Mahindra Bolero SLE BSIII,Mahindra,Mahindra Bolero SLE,2011,120000,Diesel,Individual,Manual,First Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7,280000
Maruti SX4 ZXI AT Leather,Maruti,Maruti SX4 ZXI,2010,30000,Petrol,Individual,Automatic,First Owner,12.6 kmpl,1586 CC,103.2 bhp,145Nm@ 4100rpm,5,350000
Tata Nexon 1.2 Revotron XM,Tata,Tata Nexon 1.2,2018,70000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1198 CC,108.5 bhp,170Nm@ 1750-4000rpm,5,575000
Hyundai i20 Sportz Option 1.2,Hyundai,Hyundai i20 Sportz,2015,41000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,550000
Toyota Etios V,Toyota,Toyota Etios V,2011,28100,Petrol,Individual,Manual,First Owner,,,,,,420000
Maruti Alto LX,Maruti,Maruti Alto LX,2006,30000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,120000
Maruti Alto K10 VXI,Maruti,Maruti Alto K10,2015,30000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,320000
Hyundai Accent Executive,Hyundai,Hyundai Accent Executive,2011,35000,Petrol,Individual,Manual,First Owner,16.36 kmpl,1495 CC,93.7 bhp,124.6Nm@ 3500rpm,5,250000
Maruti SX4 Zxi BSIII,Maruti,Maruti SX4 Zxi,2010,22000,Petrol,Individual,Manual,First Owner,15.0 kmpl,1586 CC,104.68 bhp,"145@ 4,100(kgm@ rpm)",5,300000
Maruti Wagon R VXI,Maruti,Maruti Wagon R,2006,70000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,250000
Maruti Omni E 8 Str STD,Maruti,Maruti Omni E,2005,100000,Petrol,Individual,Manual,Second Owner,,,,,,120000
Mahindra Bolero 2011-2019 mHAWK D70 ZLX,Mahindra,Mahindra Bolero 2011-2019,2018,70000,Diesel,Individual,Manual,First Owner,16.5 kmpl,1493 CC,70 bhp,195Nm@ 1400-2200rpm,7,750000
Mahindra Scorpio 2.6 CRDe,Mahindra,Mahindra Scorpio 2.6,2005,200000,Diesel,Individual,Manual,Second Owner,10.5 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8,151000
Tata Safari DICOR 2.2 EX 4x2,Tata,Tata Safari DICOR,2011,120000,Diesel,Individual,Manual,First Owner,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7,300000
Maruti Ignis 1.2 Zeta BSIV,Maruti,Maruti Ignis 1.2,2019,3000,Petrol,Individual,Manual,First Owner,20.89 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,577000
Maruti Alto K10 2010-2014 VXI,Maruti,Maruti Alto K10,2012,50000,Petrol,Individual,Manual,First Owner,20.92 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,229999
Mahindra Bolero 2011-2019 ZLX,Mahindra,Mahindra Bolero 2011-2019,2013,50000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7,500000
Honda Jazz VX CVT,Honda,Honda Jazz VX,2019,1500,Petrol,Individual,Automatic,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,840000
Volkswagen Vento 1.5 TDI Highline,Volkswagen,Volkswagen Vento 1.5,2017,74000,Diesel,Individual,Manual,First Owner,22.27 kmpl,1498 CC,108.6 bhp,250Nm@ 1500-3000rpm,5,900000
Honda Jazz 1.2 V i VTEC,Honda,Honda Jazz 1.2,2017,25000,Petrol,Individual,Manual,First Owner,18.7 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,650000
Honda Jazz 1.5 VX i DTEC,Honda,Honda Jazz 1.5,2016,61915,Diesel,Individual,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,650000
Hyundai EON Era Plus,Hyundai,Hyundai EON Era,2016,110000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,250000
Volkswagen Polo 1.5 TDI Comfortline,Volkswagen,Volkswagen Polo 1.5,2016,70000,Diesel,Individual,Manual,First Owner,20.14 kmpl,1498 CC,88 bhp,230Nm@ 1500-2500rpm,5,550000
Maruti Swift Ldi BSIII,Maruti,Maruti Swift Ldi,2007,150000,Diesel,Individual,Manual,Fourth & Above Owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5,250000
Mahindra Quanto C4,Mahindra,Mahindra Quanto C4,2013,110000,Diesel,Individual,Manual,Second Owner,17.21 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7,350000
Chevrolet Beat Diesel LT,Chevrolet,Chevrolet Beat Diesel,2014,90000,Diesel,Individual,Manual,Second Owner,25.44 kmpl,936 CC,56.3 bhp,142.5Nm@ 1750rpm,5,185000
Ford Figo Petrol Titanium,Ford,Ford Figo Petrol,2010,120000,Petrol,Individual,Manual,Third Owner,15.6 kmpl,1196 CC,70 bhp,102Nm@ 4000rpm,5,229999
Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota,Toyota Innova 2.5,2016,65000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8,1000000
Maruti Wagon R VXI 1.2,Maruti,Maruti Wagon R,2019,10000,Petrol,Individual,Manual,First Owner,20.52 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,490000
Hyundai i10 Sportz,Hyundai,Hyundai i10 Sportz,2009,80000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5,150000
Maruti Ertiga VDI,Maruti,Maruti Ertiga VDI,2013,184000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,600000
Maruti Wagon R CNG LXI,Maruti,Maruti Wagon R,2013,80000,CNG,Individual,Manual,Second Owner,32.52 km/kg,998 CC,58.33 bhp,78Nm@ 3500rpm,5,270000
Maruti Zen LXi - BS III,Maruti,Maruti Zen LXi,2005,70000,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5,60000
Maruti SX4 Zxi with Leather BSIII,Maruti,Maruti SX4 Zxi,2008,89000,Petrol,Individual,Manual,Second Owner,15.6 kmpl,1586 CC,104.68 bhp,"145@ 4,100(kgm@ rpm)",5,150000
Honda Brio Exclusive Edition,Honda,Honda Brio Exclusive,2014,33033,Petrol,Dealer,Manual,First Owner,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5,335000
Maruti Swift VDI,Maruti,Maruti Swift VDI,2013,69000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,525000
Hyundai Grand i10 AT Asta,Hyundai,Hyundai Grand i10,2015,63063,Petrol,Dealer,Automatic,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,465000
Tata Indica V2 eLX,Tata,Tata Indica V2,2012,90000,Diesel,Individual,Manual,Second Owner,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5,83000
Hyundai EON Era Plus,Hyundai,Hyundai EON Era,2017,8000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,300000
Hyundai i20 1.2 Sportz,Hyundai,Hyundai i20 1.2,2012,35000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5,350000
Hyundai i20 1.2 Sportz,Hyundai,Hyundai i20 1.2,2011,45000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5,300000
Fiat Linea 1.3 Active,Fiat,Fiat Linea 1.3,2011,30000,Diesel,Individual,Manual,First Owner,20.4 kmpl,1248 CC,91.2 bhp,209Nm@ 2000rpm,5,250000
Maruti 800 Std,Maruti,Maruti 800 Std,2006,59000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,114999
Maruti Ertiga VXI Petrol,Maruti,Maruti Ertiga VXI,2018,6200,Petrol,Individual,Manual,First Owner,19.34 kmpl,1462 CC,103 bhp,138Nm@ 4400rpm,7,700000
Maruti Celerio X ZXI,Maruti,Maruti Celerio X,2020,120000,Petrol,Individual,Manual,Second Owner,21.63 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5,250000
Maruti Wagon R LXI BS IV,Maruti,Maruti Wagon R,2016,70000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,350000
Maruti Omni 5 Str STD,Maruti,Maruti Omni 5,1998,70000,Petrol,Individual,Manual,First Owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5,80000
Mahindra Scorpio S2 7 Seater,Mahindra,Mahindra Scorpio S2,2017,110000,Diesel,Individual,Manual,First Owner,15.4 kmpl,2523 CC,75 bhp,200Nm@ 1400-2200rpm,7,850000
Hyundai Santro Xing XG,Hyundai,Hyundai Santro Xing,2004,158000,Petrol,Individual,Manual,First Owner,,,,,,70000
Chevrolet Spark 1.0 LS,Chevrolet,Chevrolet Spark 1,2007,93000,Petrol,Individual,Manual,Third Owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm,5,90000
Chevrolet Tavera Neo 3 10 Seats BSIII,Chevrolet,Chevrolet Tavera Neo,2014,110000,Diesel,Individual,Manual,First Owner,13.58 kmpl,2499 CC,72.4 bhp,171Nm@ 1800rpm,10,600000
Maruti Alto LX,Maruti,Maruti Alto LX,2007,57000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,135000
Hyundai Accent GLE,Hyundai,Hyundai Accent GLE,2005,120000,Petrol,Individual,Manual,First Owner,13.2 kmpl,1495 CC,94 bhp,"12.5@ 3,500(kgm@ rpm)",5,150000
Tata Indigo CS eLX BS IV,Tata,Tata Indigo CS,2012,35000,Diesel,Individual,Manual,First Owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5,259000
Tata Indigo CS eLS BS IV,Tata,Tata Indigo CS,2012,90000,Diesel,Individual,Manual,First Owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5,220000
Tata Indigo eCS LX BSIV,Tata,Tata Indigo eCS,2012,35000,Diesel,Individual,Manual,Second Owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5,246000
Maruti Swift Dzire VXi,Maruti,Maruti Swift Dzire,2009,120000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1298 CC,85.8 bhp,114Nm@ 4000rpm,5,240000
Hyundai Creta 1.4 E Plus,Hyundai,Hyundai Creta 1.4,2018,60000,Diesel,Individual,Manual,First Owner,22.1 kmpl,1396 CC,88.7 bhp,219.7Nm@ 1500-2750rpm,5,946000
Tata Indigo eCS LX BSIV,Tata,Tata Indigo eCS,2011,70000,Diesel,Individual,Manual,First Owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5,215000
Maruti Zen LX,Maruti,Maruti Zen LX,1999,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5,50000
Honda Amaze S i-Dtech,Honda,Honda Amaze S,2013,100000,Diesel,Individual,Manual,First Owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,310000
Hyundai i10 Magna,Hyundai,Hyundai i10 Magna,2008,35000,Petrol,Individual,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,220000
Maruti Swift Vdi BSIII,Maruti,Maruti Swift Vdi,2008,90000,Diesel,Individual,Manual,Third Owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5,195000
Hyundai i20 Active 1.2 S,Hyundai,Hyundai i20 Active,2015,50000,Petrol,Individual,Manual,First Owner,17.19 kmpl,1197 CC,81.86 bhp,114.73Nm@ 4000rpm,5,650000
Hyundai i20 1.2 Magna,Hyundai,Hyundai i20 1.2,2011,98000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5,350000
Hyundai i20 Asta 1.2,Hyundai,Hyundai i20 Asta,2013,30000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,360000
Hyundai Elantra SX,Hyundai,Hyundai Elantra SX,2013,50000,Petrol,Individual,Manual,Second Owner,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5,550000
Hyundai Grand i10 Sportz,Hyundai,Hyundai Grand i10,2016,26000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,490000
Maruti Alto LXi,Maruti,Maruti Alto LXi,2011,46000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,195000
Maruti Alto LX,Maruti,Maruti Alto LX,2010,80000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,125000
Tata Tiago 1.2 Revotron XZ,Tata,Tata Tiago 1.2,2019,10000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5,459999
Maruti Alto 800 LXI,Maruti,Maruti Alto 800,2015,16700,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,275000
Maruti Swift Dzire VDI,Maruti,Maruti Swift Dzire,2018,70000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5,680000
Maruti Swift Dzire ZXI,Maruti,Maruti Swift Dzire,2015,7967,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,600000
Maruti Swift ZXI Plus,Maruti,Maruti Swift ZXI,2018,20000,Petrol,Individual,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,720000
Maruti Swift VDI BSIV,Maruti,Maruti Swift VDI,2011,50000,Diesel,Individual,Manual,First Owner,,,,,,295000
Renault KWID RXT Optional,Renault,Renault KWID RXT,2016,9656,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5,356000
Hyundai i10 Era,Hyundai,Hyundai i10 Era,2011,50000,Petrol,Individual,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,225000
Ford Freestyle Titanium Diesel BSIV,Ford,Ford Freestyle Titanium,2019,17000,Diesel,Individual,Manual,First Owner,24.4 kmpl,1498 CC,98.63 bhp,215Nm@ 1750-3000rpm,5,725000
Chevrolet Spark 1.0 LT,Chevrolet,Chevrolet Spark 1,2010,50000,Petrol,Individual,Manual,First Owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm,5,130000
Renault KWID RXT,Renault,Renault KWID RXT,2015,10000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5,300000
Hyundai i20 Sportz 1.2,Hyundai,Hyundai i20 Sportz,2013,43000,Petrol,Individual,Manual,Second Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,400000
Hyundai Verna 1.4 CX,Hyundai,Hyundai Verna 1.4,2013,50000,Diesel,Individual,Manual,First Owner,23.5 kmpl,1396 CC,88.7 bhp,219.9Nm@ 1750-2750rpm,5,550000
Maruti Wagon R PRIMEA,Maruti,Maruti Wagon R,2006,90000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5,120000
Mahindra Xylo D4 BSIV,Mahindra,Mahindra Xylo D4,2012,100000,Diesel,Individual,Manual,Second Owner,14.0 kmpl,2498 CC,112 bhp,260 Nm at 1800-2200 rpm,8,409999
Hyundai Santro Xing (Non-AC),Hyundai,Hyundai Santro Xing,2010,80000,Petrol,Individual,Manual,Second Owner,0.0 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5,110000
Mahindra Bolero 2011-2019 SLX,Mahindra,Mahindra Bolero 2011-2019,2012,120000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7,450000
Maruti Swift VXI,Maruti,Maruti Swift VXI,2019,5000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,610000
Ford Ecosport 1.5 DV5 MT Trend,Ford,Ford Ecosport 1.5,2016,68609,Diesel,Dealer,Manual,First Owner,22.7 kmpl,1498 CC,89.84 bhp,204Nm@ 2000-2750rpm,5,515000
Ford EcoSport 1.5 TDCi Titanium BE BSIV,Ford,Ford EcoSport 1.5,2018,33360,Diesel,Dealer,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5,925000
Nissan Kicks XL BSIV,Nissan,Nissan Kicks XL,2019,14317,Petrol,Dealer,Manual,First Owner,14.23 kmpl,1498 CC,104.55 bhp,142Nm@ 4000rpm,5,860000
Ford Figo Diesel Titanium,Ford,Ford Figo Diesel,2012,87237,Diesel,Dealer,Manual,Second Owner,20.0 kmpl,1399 CC,68.05 bhp,160Nm@ 2000rpm,5,225000
Ford Figo 1.5D Trend MT,Ford,Ford Figo 1.5D,2017,62960,Diesel,Dealer,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5,500000
Maruti Swift Dzire AMT VXI,Maruti,Maruti Swift Dzire,2017,26634,Petrol,Dealer,Automatic,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,600000
Ford Figo Diesel EXI Option,Ford,Ford Figo Diesel,2012,163720,Diesel,Dealer,Manual,First Owner,18.5 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5,195000
Maruti Wagon R LXI BS IV,Maruti,Maruti Wagon R,2012,67998,Petrol,Dealer,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,265000
Ford Freestyle Trend Diesel,Ford,Ford Freestyle Trend,2018,20706,Diesel,Dealer,Manual,First Owner,23.8 kmpl,1499 CC,98.63 bhp,215Nm@ 1750-2500rpm,5,650000
Ford Figo Aspire 1.5 TDCi Trend,Ford,Ford Figo Aspire,2015,100581,Diesel,Dealer,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5,415000
Renault Duster 85PS Diesel RxE Adventure,Renault,Renault Duster 85PS,2015,67303,Diesel,Dealer,Manual,First Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5,600000
Maruti Ritz VXi,Maruti,Maruti Ritz VXi,2013,79139,Petrol,Dealer,Manual,First Owner,18.5 kmpl,1197 CC,85.80 bhp,114Nm@ 4000rpm,5,340000
Hyundai Grand i10 CRDi Sportz,Hyundai,Hyundai Grand i10,2014,84784,Diesel,Dealer,Manual,First Owner,24.0 kmpl,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5,350000
Maruti Ritz LDi,Maruti,Maruti Ritz LDi,2012,130376,Diesel,Dealer,Manual,Second Owner,23.2 kmpl,1248 CC,73.94 bhp,190Nm@ 2000rpm,5,265000
Tata Safari DICOR 2.2 EX 4x2,Tata,Tata Safari DICOR,2017,72000,Diesel,Individual,Manual,First Owner,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7,625000
Hyundai Verna CRDi SX,Hyundai,Hyundai Verna CRDi,2008,127000,Diesel,Individual,Manual,Second Owner,16.8 kmpl,1493 CC,110 bhp,"24@ 1,900-2,750(kgm@ rpm)",5,245000
Maruti Swift VDI BSIV,Maruti,Maruti Swift VDI,2014,120000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,395000
Fiat Punto 1.3 Emotion,Fiat,Fiat Punto 1.3,2010,120000,Diesel,Individual,Manual,Second Owner,,,,,,190000
Hyundai Xcent 1.1 CRDi S,Hyundai,Hyundai Xcent 1.1,2014,100000,Diesel,Individual,Manual,First Owner,24.4 kmpl,1120 CC,71 bhp,180.4Nm@ 1750-2500rpm,5,490000
Toyota Etios GD,Toyota,Toyota Etios GD,2012,148000,Diesel,Individual,Manual,Second Owner,,,,,,450000
Maruti Ertiga SHVS VDI,Maruti,Maruti Ertiga SHVS,2018,40000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,955000
Maruti Swift Dzire VDI,Maruti,Maruti Swift Dzire,2013,110000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,525000
Tata Tigor 1.2 Revotron XZ Option,Tata,Tata Tigor 1.2,2017,30000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5,550000
Tata Indica Vista TDI LX,Tata,Tata Indica Vista,2014,120000,Diesel,Individual,Manual,Second Owner,19.1 kmpl,1405 CC,70 bhp,135.4Nm@ 2500rpm,5,200000
Ford Figo Aspire 1.2 Ti-VCT Trend,Ford,Ford Figo Aspire,2017,15000,Petrol,Individual,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5,500000
